id,start,end,nom,resp,dep,iddep
11912,2013-04-26,,"Zona Portuària Sud","Enric Martínez Sastre","Departament de Territori i Sostenibilitat",3392
11913,2013-04-26,,"Servei de Relació amb el Sistema Educatiu i Fòrum d'Entitats, Oficina de Defensa de l'Audiència i Reclamacions","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11918,2013-04-26,,"Lletrat Major","Ismael E. Pitarch","Parlament de Catalunya",6581
11923,2013-04-26,,"Direcció d'Informàtica","Pere Sol","Parlament de Catalunya",6581
11924,2013-04-26,,"Direcció de Govern Interior","Xavier Muro","Parlament de Catalunya",6581
11925,2013-04-26,,"Departament d'Edicions","Nei Torrell","Parlament de Catalunya",6581
11926,2013-04-26,,"Departament de Serveis Lingüístics","Josep Ferrer","Parlament de Catalunya",6581
11927,2013-04-26,,"Departament de Relacions Parlamentàries i de Comunicació","Anna Fornesa i Clapera","Parlament de Catalunya",6581
11928,2013-04-26,,"Departament de Gestió Parlamentària","Josepa Méndez","Parlament de Catalunya",6581
11929,2013-04-26,,"Departament d'Infrastructures, Equipaments i Seguretat","Xavier Duch","Parlament de Catalunya",6581
11937,2013-04-26,,"Departament de Recursos Humans","Begoña Benguria","Parlament de Catalunya",6581
11961,2013-04-26,,"Gabinet de Comunicació","Josep Escudé","Parlament de Catalunya",6581
11969,2013-04-26,,"Oficina de Suport als Grups Parlamentaris","Dolors Daura","Parlament de Catalunya",6581
11987,2013-04-26,,"Consorci de l'Habitatge de Barcelona","null","Departament de Territori i Sostenibilitat",3392
11988,2013-04-26,,"Servei d'Assessorament Jurídic","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11989,2013-04-26,,"Unitat de Serveis Generals","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11990,2013-04-26,2013-07-02,"Servei de Recursos Humans i de Gestió Econòmica","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11991,2013-04-26,,"Servei d'Anàlisi de Continguts","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11992,2013-04-26,,"Servei d'Operadors","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11993,2013-04-26,,"Unitat de Recerca, Estudis i Publicacions","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
11996,2013-04-26,,"Secretaria General (CAC)","Joan Barata i Mir","Consell de l'Audiovisual de Catalunya (CAC)",13961
11997,2013-04-26,,"Gabinet de la Presidència (CAC)","Joan Barata i Mir","Consell de l'Audiovisual de Catalunya (CAC)",13961
12017,2013-04-26,,"Estació d'ITV (B-19) Barcelonès","Josep Codina","Departament d'Empresa i Ocupació",15638
12019,2013-04-26,2013-07-02,"Unitat de Relacions Internacionals","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
12021,2013-04-26,,"Servei de Premsa i Comunicació","null","Consell de l'Audiovisual de Catalunya (CAC)",13961
12050,2013-04-26,,"Escola Superior de Prevenció de Riscos Laborals (UPF)","null","Departament d'Economia i Coneixement",1103
12052,2013-04-26,,"Comissió de Gestió Universitària del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
12053,2013-04-26,,"Comissió d'accés i afers estudiantils del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
12054,2013-04-26,,"Comissió de Programació i Ordenació Acadèmica del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
12057,2013-04-26,,"Comissió de Recerca i Transferència de Coneixement del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
12072,2013-04-26,,"Comissió de Política Lingüística del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
12074,2013-04-26,,"Comissió d'Estudiants del Consell Interuniversitari de Catalunya","null","Departament d'Economia i Coneixement",1103
